probability,day_of_week,hour,days_to_deliver,delivery_distance
MEDIUM,3,21,3,254.1425692
MEDIUM,3,21,2,252.517771
MEDIUM,3,21,5,454.5367931
LOW,3,21,5,465.5345063
LOW,3,21,6,633.7025479
LOW,3,21,6,535.3806509
MEDIUM,3,21,2,147.2343144
MEDIUM,3,21,3,299.1922408
LOW,3,21,4,436.8072649
MEDIUM,3,21,3,298.4823859
LOW,3,21,5,670.0165721
MEDIUM,3,21,3,288.514746
MEDIUM,3,21,2,174.8963753
LOW,3,21,5,524.0656724
LOW,3,21,5,525.3258054
LOW,3,21,6,707.9260117
LOW,3,21,5,488.3314539
LOW,3,21,6,526.9535303
MEDIUM,3,21,2,227.920553
MEDIUM,3,21,2,268.5702091
LOW,3,21,6,823.7979038
MEDIUM,3,21,2,244.1134981
LOW,3,21,4,464.330722
LOW,3,21,5,580.7773902
MEDIUM,3,21,2,216.9634615
LOW,3,21,5,416.7419008
LOW,3,21,4,424.5550467
LOW,3,21,5,466.4059691
HIGH,3,21,4,414.4002246
LOW,3,21,6,559.642665
MEDIUM,3,21,2,192.6465241
LOW,3,21,5,396.8171183
MEDIUM,3,21,3,344.4564734
LOW,3,21,5,312.413491
LOW,3,21,6,511.0079604
LOW,3,21,6,693.5887825
MEDIUM,3,21,5,486.6318552
HIGH,3,21,3,285.1414838
LOW,3,21,5,718.7431363
MEDIUM,3,21,4,401.1433931
LOW,3,21,4,506.8225988
LOW,3,21,5,600.772596
MEDIUM,3,21,3,329.626582
LOW,3,21,6,373.4090358
LOW,3,21,6,424.4705158
LOW,3,21,4,404.2219042
MEDIUM,3,21,3,205.8304659
MEDIUM,3,21,4,507.2788524
MEDIUM,3,21,2,247.5409551
LOW,3,21,5,363.5786015
LOW,3,21,4,378.7872814
LOW,3,21,6,523.7126433
LOW,3,21,6,657.29609
LOW,3,21,6,755.6351748
MEDIUM,3,21,2,227.9563586
LOW,3,21,5,450.9277266
LOW,3,21,5,353.0254193
LOW,3,21,4,272.6350285
LOW,3,21,5,627.282937
MEDIUM,3,21,2,221.0363285
LOW,3,21,4,389.212853
LOW,3,21,5,423.5565592
LOW,3,21,4,434.6353801
MEDIUM,3,21,2,204.0487695
MEDIUM,3,21,3,294.0979154
LOW,3,21,4,368.1856214
LOW,3,21,5,423.7608173
LOW,3,21,6,401.1342889
MEDIUM,3,21,3,253.563317
MEDIUM,3,21,3,365.0927776
LOW,3,21,4,502.8333626
LOW,3,21,5,550.3039569
MEDIUM,3,21,3,291.082031
LOW,3,21,4,295.1357685
LOW,3,21,5,559.2083988
LOW,3,21,6,552.9272608
MEDIUM,3,21,2,248.2975056
LOW,3,21,6,661.366257
LOW,3,21,6,599.2954766
LOW,3,21,5,586.4803311
MEDIUM,3,21,2,136.4518319
MEDIUM,3,21,3,274.6121442
MEDIUM,3,21,2,112.888353
MEDIUM,3,21,2,294.9279318
LOW,3,21,5,551.541814
HIGH,3,21,6,675.4354441
MEDIUM,3,21,3,211.3746878
LOW,3,21,4,370.998179
LOW,3,21,4,324.0609725
MEDIUM,3,21,2,175.4883273
LOW,3,21,5,479.4929436
LOW,3,9,5,497.7709963
LOW,3,9,6,480.0603522
LOW,3,9,5,614.6824142
MEDIUM,3,9,3,371.1407035
MEDIUM,3,9,4,333.3131563
LOW,3,9,5,447.0838165
LOW,3,9,5,455.3488375
LOW,3,9,5,460.4194878
LOW,3,9,5,603.3281127
MEDIUM,3,9,4,515.2476865
MEDIUM,3,9,3,340.2180008
MEDIUM,3,9,3,309.1372279
HIGH,3,9,2,220.4797282
HIGH,3,9,2,183.9867745
HIGH,3,9,5,336.2234204
MEDIUM,3,9,3,303.1516513
LOW,3,9,6,555.374583
LOW,3,9,5,480.5397889
MEDIUM,3,13,4,498.3551794
LOW,3,13,5,476.1675879
LOW,3,13,5,504.3017336
MEDIUM,3,13,3,282.436662
LOW,3,13,5,409.5724141
HIGH,3,13,2,262.5019466
LOW,3,13,6,609.55315
HIGH,3,13,2,185.1721134
HIGH,3,13,2,266.9751022
LOW,3,13,6,536.5856107
MEDIUM,3,13,3,282.7341423
MEDIUM,3,13,4,454.6147122
HIGH,3,13,2,218.2048817
MEDIUM,3,13,5,467.2495478
MEDIUM,3,13,3,330.1653126
LOW,3,13,5,488.4763747
MEDIUM,3,13,4,332.6443612
HIGH,3,13,2,135.9255038
HIGH,3,13,2,214.5037142
MEDIUM,3,13,3,430.4957059
LOW,3,13,6,809.8109179
LOW,3,13,6,611.9356367
LOW,3,13,6,456.2785362
LOW,3,13,5,475.0343041
MEDIUM,3,13,2,196.058409
MEDIUM,3,13,4,615.9054483
HIGH,3,13,2,150.6016024
LOW,3,13,5,341.9882908
LOW,3,13,6,513.9086472
MEDIUM,3,13,3,312.7148465
LOW,3,13,5,483.6770727
MEDIUM,3,13,6,592.4656493
MEDIUM,3,13,3,292.5483703
MEDIUM,3,13,4,442.1289507
LOW,3,13,6,646.9853767
HIGH,3,9,2,207.3046407
MEDIUM,3,9,4,361.6292586
HIGH,3,9,2,232.6549917
HIGH,3,9,2,276.1469171
MEDIUM,3,9,3,234.3095693
HIGH,3,9,2,303.6040106
LOW,3,9,6,392.9688198
MEDIUM,3,9,4,441.0971987
HIGH,3,9,2,193.7028461
LOW,3,9,6,669.1234923
MEDIUM,3,9,4,383.4239789
LOW,3,9,5,585.6779728
LOW,3,9,6,565.5017397
HIGH,3,9,4,376.7679264
LOW,3,9,5,426.9199098
LOW,3,9,6,796.2879822
MEDIUM,3,9,3,217.5072253
MEDIUM,3,9,4,420.4597644
LOW,3,9,6,748.7031898
MEDIUM,3,9,2,242.1980757
MEDIUM,3,9,3,313.5485403
MEDIUM,3,9,3,266.3116065
MEDIUM,3,9,3,213.8922252
MEDIUM,3,9,4,348.0895389
LOW,3,9,5,509.5929786
LOW,3,9,6,590.0546886
MEDIUM,3,9,4,483.4035743
HIGH,3,9,2,287.5769636
LOW,3,9,6,776.5310564
LOW,3,9,5,551.776257
HIGH,3,9,2,199.4923947
MEDIUM,3,9,4,467.9813582
MEDIUM,3,13,4,360.3046909
LOW,3,2,6,593.3732547
LOW,3,2,6,615.7848327
LOW,3,2,4,578.1880573
MEDIUM,3,2,2,245.0289168
LOW,3,2,6,635.0975539
MEDIUM,3,2,3,291.8837757
LOW,3,2,6,620.2998828
MEDIUM,3,2,3,302.1409232
LOW,3,2,4,487.9905572
LOW,3,2,6,590.1585173
LOW,3,2,5,479.7064164
HIGH,3,2,6,524.5092734
LOW,3,2,4,397.529406
LOW,3,2,6,537.8700188
HIGH,3,2,6,623.4468081
MEDIUM,3,21,3,337.0987607
LOW,3,21,5,353.421612
LOW,3,21,5,406.1033238
MEDIUM,3,21,2,161.3125619
LOW,3,21,6,835.670161
MEDIUM,3,21,2,233.6067787
LOW,3,21,6,335.3748112
